title,url,date,rating,status,comment
暴力史,https://movie.douban.com/subject/1422917/,2024-05-05,,看过,
从邪恶中拯救我,https://movie.douban.com/subject/30425219/,2024-05-04,★★★,看过,
飞驰人生2,https://movie.douban.com/subject/36369452/,2024-05-03,★★★,看过,
寂静之地2,https://movie.douban.com/subject/30206311/,2024-05-02,★★,看过,
哥斯拉-1.0,https://movie.douban.com/subject/35914398/,2024-05-01,★★★,看过,
女巫,https://movie.douban.com/subject/26276364/,2024-04-29,,看过,
尸咒,https://movie.douban.com/subject/35622456/,2024-04-29,★,看过,
害虫,https://movie.douban.com/subject/36396324/,2024-04-28,★,看过,
见鬼,https://movie.douban.com/subject/1296026/,2024-04-26,★★★,看过,
双瞳,https://movie.douban.com/subject/1305046/,2024-04-25,★★★★★,看过,
魔鬼深夜秀,https://movie.douban.com/subject/36068379/,2024-04-24,★★,看过,
破墓,https://movie.douban.com/subject/35490167/,2024-04-23,★★★★,看过,
雷普利,https://movie.douban.com/subject/26415434/,2024-04-23,★★★,看过,
辐射 第一季,https://movie.douban.com/subject/35128081/,2024-04-21,★★★,看过,
停尸房收藏,https://movie.douban.com/subject/30257386/,2024-04-20,,看过,
拉卡,https://movie.douban.com/subject/27064729/,2024-04-18,★★★,看过,
合子异种,https://movie.douban.com/subject/27080387/,2024-04-18,★★★,看过,
海豹突击队 第六季,https://movie.douban.com/subject/35760435/,2024-04-10,★★★★,看过,
海豹突击队 第五季,https://movie.douban.com/subject/35467045/,2024-04-09,★★★★,看过,
海豹突击队 第四季,https://movie.douban.com/subject/35060150/,2024-04-09,★★★★,看过,
诸神之怒,https://movie.douban.com/subject/4824515/,2024-04-05,★★★,看过,
午夜弥撒,https://movie.douban.com/subject/34453116/,2024-04-01,★★★★,看过,
哥斯拉大战金刚2：帝国崛起,https://movie.douban.com/subject/35453251/,2024-03-30,★★★,看过,
速度与激情3：东京漂移,https://movie.douban.com/subject/1652618/,2024-03-30,,看过,
速度与激情2,https://movie.douban.com/subject/1307442/,2024-03-30,,看过,
速度与激情,https://movie.douban.com/subject/1304899/,2024-03-30,,看过,
群星,https://movie.douban.com/subject/35861910/,2024-03-27,★★★★,看过,
相对宇宙 第二季,https://movie.douban.com/subject/30188053/,2024-03-27,★★★★,看过,
相对宇宙 第一季,https://movie.douban.com/subject/26474254/,2024-03-27,★★★,看过,
帝王计划：怪兽遗产 第一季,https://movie.douban.com/subject/35745750/,2024-03-26,★★,看过,
新威龙杀阵,https://movie.douban.com/subject/26608246/,2024-03-23,★★,看过,
地球停转之日,https://movie.douban.com/subject/2225321/,2024-03-23,★★,看过,
极地恶灵 第一季,https://movie.douban.com/subject/24722767/,2024-03-18,★★★★★,看过,
热辣滚烫,https://movie.douban.com/subject/36081094/,2024-03-18,★,看过,
沙丘2,https://movie.douban.com/subject/35575567/,2024-03-16,★★★,看过,
周处除三害,https://movie.douban.com/subject/36151692/,2024-03-12,★★★,看过,
三大队,https://movie.douban.com/subject/35208463/,2024-02-29,,看过,
怪形,https://movie.douban.com/subject/1296794/,2024-02-27,★★★★,看过,
真探 第四季,https://movie.douban.com/subject/35809047/,2024-02-23,★★,看过,
年会不能停！,https://movie.douban.com/subject/35725869/,2024-02-20,★★★★,看过,
先见之明 第二季,https://movie.douban.com/subject/26971159/,2024-02-18,★★★★★,看过,
先见之明 第一季,https://movie.douban.com/subject/26727307/,2024-02-16,★★★,看过,
飞驰人生,https://movie.douban.com/subject/30163509/,2024-02-13,★,看过,
侠探杰克 第二季,https://movie.douban.com/subject/35763119/,2024-02-01,★★★,看过,
殉难者,https://movie.douban.com/subject/3012009/,2024-01-28,★★★,看过,
惊奇队长2,https://movie.douban.com/subject/34678231/,2024-01-18,★★,看过,
捉迷藏,https://movie.douban.com/subject/1308995/,2024-01-14,★★★★,看过,
为全人类 第四季,https://movie.douban.com/subject/36012300/,2024-01-13,★★★★★,看过,
三大队,https://movie.douban.com/subject/36178641/,2024-01-11,★★★,看过,
神秘感染：第二阶段,https://movie.douban.com/subject/26576551/,2023-12-27,★★★,看过,
神秘感染,https://movie.douban.com/subject/21348112/,2023-12-27,★★★,看过,
鬼庄园,https://movie.douban.com/subject/30442447/,2023-12-23,★★,看过,
银河护卫队3,https://movie.douban.com/subject/26258779/,2023-12-17,,看过,
洛基 第二季,https://movie.douban.com/subject/35244032/,2023-12-13,★★★★,看过,
洛基 第一季,https://movie.douban.com/subject/30331432/,2023-12-13,★★★★,看过,
人皮客栈,https://movie.douban.com/subject/1456197/,2023-12-07,★★★,看过,
致命弯道,https://movie.douban.com/subject/1303847/,2023-12-07,★★,看过,
走到尽头,https://movie.douban.com/subject/36171368/,2023-12-03,★★,看过,
V世代 第一季,https://movie.douban.com/subject/35211473/,2023-11-19,★★★,看过,
冰血暴 第一季,https://movie.douban.com/subject/24297912/,2023-11-18,★★★,看过,
生吃,https://movie.douban.com/subject/26653833/,2023-11-13,★★★,看过,
恩菲尔德灵异事件,https://movie.douban.com/subject/36155694/,2023-10-29,★★,看过,
入侵 第二季,https://movie.douban.com/subject/35693586/,2023-10-29,★★,看过,
电锯惊魂10,https://movie.douban.com/subject/36116844/,2023-10-23,★★★,看过,
伸冤人,https://movie.douban.com/subject/3012013/,2023-10-20,★★★,看过,
末日地堡 第一季,https://movie.douban.com/subject/35468745/,2023-10-10,★★★★,看过,
